omega_b H0 logA omega_cdm n_s z_reio A_planck A_act P_act Tcal Ecal m_ncdm
2.248474565889303431e-02 6.851704518360753582e+01 3.051809275376292430e+00 1.184852071845134136e-01 9.705189435843607493e-01 8.110800036480243946e+00 1.001454941631243933e+00 9.996040399419320321e-01 1.003791263448452487e+00 1.000648423662616748e+00 1.000407870807537014e+00 2.073187351396965986e-03
2.260834651186144698e-02 6.876135984619357089e+01 3.097237702310630780e+00 1.180579991223828645e-01 9.718383874684032309e-01 1.004963563811179839e+01 1.003588314302147344e+00 1.001782560240663589e+00 1.005104891604712281e+00 9.977474582515553081e-01 1.008802578506182046e+00 6.858715283442133083e-03
2.246654944194157594e-02 6.820188230838979848e+01 3.055611328721497877e+00 1.176764097099936707e-01 9.739941981687985084e-01 8.246428113724505238e+00 1.002610519421570867e+00 1.002047336032307667e+00 1.001912345993278830e+00 9.978304949505357735e-01 1.000269775891948543e+00 8.020104240564125686e-02
2.248120811739109590e-02 6.811718368523193590e+01 3.054228687792437835e+00 1.189681549223506885e-01 9.721805905311496909e-01 8.343029715923053757e+00 9.995131647390601559e-01 1.000161387191402795e+00 1.000726283998273125e+00 1.000940838245639508e+00 9.966158024241453806e-01 3.406590530046687409e-02
2.233360179262835685e-02 6.823572210414059214e+01 3.055096973839944496e+00 1.188659192196576259e-01 9.710602027121640889e-01 8.299643825974960976e+00 1.002089024840309817e+00 1.001070117025417705e+00 9.998281125875779773e-01 9.982728660137827337e-01 1.001200597442549522e+00 1.234938528627786171e-03
2.239125916456265880e-02 6.838007809557306871e+01 3.055687913028355407e+00 1.186098044291885450e-01 9.736534790144777407e-01 8.264910306197052137e+00 1.002787271135883618e+00 9.999509305456478758e-01 1.005783615208937887e+00 1.001976227383592377e+00 1.002418880000791379e+00 4.788374809322855884e-03
2.234742556808388958e-02 6.852046379806044740e+01 3.062939869396581916e+00 1.178416112348337069e-01 9.734739642373847479e-01 8.844078971313937387e+00 9.993015366969441038e-01 9.997651245001475395e-01 1.005152915229665878e+00 9.968663635335072160e-01 1.000738708559218093e+00 2.927953763243005322e-03
2.249111448533682930e-02 6.851217096883431168e+01 3.041549320170977122e+00 1.186049787344537060e-01 9.701005758208265384e-01 7.398533122004479878e+00 1.002825438960866844e+00 1.000510725165089543e+00 1.005837118124147445e+00 1.002192300308817341e+00 1.002430985544806585e+00 9.677425649691430778e-03
2.238838042064847031e-02 6.887156226003880022e+01 3.065057956741264800e+00 1.172081955007118481e-01 9.768695497808649320e-01 9.143002516285182679e+00 9.993168688812329448e-01 9.985612750070470556e-01 1.000208324835270002e+00 9.976648425146490418e-01 1.008224066161739652e+00 1.518377421054124821e-02
2.250575914647581083e-02 6.845207589911018431e+01 3.069244835452323628e+00 1.189175012596318803e-01 9.664794783362938846e-01 8.967816366211119217e+00 1.000220252506852425e+00 9.972743583004318735e-01 1.009186519464622345e+00 1.003428829740970585e+00 9.974862376580081458e-01 1.315387510514487088e-02
