05:04:58 [ultranest] [DEBUG] ReactiveNestedSampler: dims=12+0, resume=False, log_dir=/home/ubuntu/docs_runs/ultranest_20260811/un_lcdm_ev_prod, backend=hdf5, vectorized=False, nbootstraps=30, ndraw=128..65536
05:05:48 [ultranest] [INFO] Sampling 400 live points from prior ...
05:07:56 [ultranest] [DEBUG] run_iter dlogz=0.5, dKL=0.5, frac_remain=0.01, Lepsilon=0.0010, min_ess=400
05:07:56 [ultranest] [DEBUG] max_iters=-1, max_ncalls=-1, max_num_improvement_loops=-1, min_num_live_points=400, cluster_num_live_points=40
05:07:56 [ultranest] [DEBUG] minimal_widths_sequence: [(np.float64(-inf), np.float64(400.0)), (np.float64(inf), np.float64(400.0))]
06:25:50 [ultranest] [DEBUG] iteration=201, ncalls=10960, regioncalls=0, ndraw=40, logz=-13393.52, remainder_fraction=100.0000%, Lmin=-13383.75, Lmax=-1863.15
06:26:25 [ultranest] [DEBUG] iteration=202, ncalls=11056, regioncalls=0, ndraw=40, logz=-13390.21, remainder_fraction=100.0000%, Lmin=-13278.20, Lmax=-1863.15
06:26:59 [ultranest] [DEBUG] iteration=205, ncalls=11152, regioncalls=0, ndraw=40, logz=-13198.43, remainder_fraction=100.0000%, Lmin=-13128.54, Lmax=-1863.15
06:27:32 [ultranest] [DEBUG] iteration=206, ncalls=11248, regioncalls=0, ndraw=40, logz=-13135.04, remainder_fraction=100.0000%, Lmin=-13096.21, Lmax=-1863.15
06:28:05 [ultranest] [DEBUG] iteration=207, ncalls=11344, regioncalls=0, ndraw=40, logz=-13102.72, remainder_fraction=100.0000%, Lmin=-13064.87, Lmax=-1863.15
06:29:14 [ultranest] [DEBUG] iteration=209, ncalls=11536, regioncalls=0, ndraw=40, logz=-12912.97, remainder_fraction=100.0000%, Lmin=-12841.42, Lmax=-1863.15
06:30:11 [ultranest] [DEBUG] iteration=217, ncalls=11632, regioncalls=0, ndraw=40, logz=-12490.99, remainder_fraction=100.0000%, Lmin=-12470.73, Lmax=-1863.15
06:30:53 [ultranest] [DEBUG] iteration=219, ncalls=11728, regioncalls=0, ndraw=40, logz=-12387.01, remainder_fraction=100.0000%, Lmin=-12321.66, Lmax=-1863.15
06:31:30 [ultranest] [DEBUG] iteration=222, ncalls=11824, regioncalls=0, ndraw=40, logz=-12257.37, remainder_fraction=100.0000%, Lmin=-12238.81, Lmax=-1863.15
06:32:12 [ultranest] [DEBUG] iteration=230, ncalls=11920, regioncalls=0, ndraw=40, logz=-12084.49, remainder_fraction=100.0000%, Lmin=-11985.71, Lmax=-1648.99
06:33:05 [ultranest] [DEBUG] iteration=232, ncalls=12016, regioncalls=0, ndraw=40, logz=-11864.83, remainder_fraction=100.0000%, Lmin=-11835.97, Lmax=-1648.99
06:33:48 [ultranest] [DEBUG] iteration=234, ncalls=12112, regioncalls=0, ndraw=40, logz=-11814.77, remainder_fraction=100.0000%, Lmin=-11790.50, Lmax=-1648.99
06:35:20 [ultranest] [DEBUG] iteration=239, ncalls=12304, regioncalls=0, ndraw=40, logz=-11753.21, remainder_fraction=100.0000%, Lmin=-11696.20, Lmax=-1648.99
06:36:00 [ultranest] [DEBUG] iteration=240, ncalls=12400, regioncalls=0, ndraw=40, logz=-11702.79, remainder_fraction=100.0000%, Lmin=-11666.18, Lmax=-1648.99
06:36:39 [ultranest] [DEBUG] iteration=244, ncalls=12496, regioncalls=0, ndraw=40, logz=-11602.70, remainder_fraction=100.0000%, Lmin=-11568.10, Lmax=-1648.99
06:37:14 [ultranest] [DEBUG] iteration=248, ncalls=12592, regioncalls=0, ndraw=40, logz=-11420.84, remainder_fraction=100.0000%, Lmin=-11378.64, Lmax=-1648.99
06:37:50 [ultranest] [DEBUG] iteration=249, ncalls=12688, regioncalls=0, ndraw=40, logz=-11385.25, remainder_fraction=100.0000%, Lmin=-11340.54, Lmax=-1648.99
06:38:38 [ultranest] [DEBUG] iteration=254, ncalls=12784, regioncalls=0, ndraw=40, logz=-11272.67, remainder_fraction=100.0000%, Lmin=-11227.65, Lmax=-1648.99
06:40:13 [ultranest] [DEBUG] iteration=255, ncalls=12976, regioncalls=0, ndraw=40, logz=-11234.28, remainder_fraction=100.0000%, Lmin=-11170.46, Lmax=-1648.99
06:41:10 [ultranest] [DEBUG] iteration=256, ncalls=13072, regioncalls=0, ndraw=40, logz=-11177.09, remainder_fraction=100.0000%, Lmin=-11147.99, Lmax=-1648.99
06:41:44 [ultranest] [DEBUG] iteration=257, ncalls=13168, regioncalls=0, ndraw=40, logz=-11154.62, remainder_fraction=100.0000%, Lmin=-11112.52, Lmax=-1648.99
06:42:16 [ultranest] [DEBUG] iteration=258, ncalls=13264, regioncalls=0, ndraw=40, logz=-11119.15, remainder_fraction=100.0000%, Lmin=-11102.96, Lmax=-1648.99
06:42:51 [ultranest] [DEBUG] iteration=261, ncalls=13360, regioncalls=0, ndraw=40, logz=-10999.68, remainder_fraction=100.0000%, Lmin=-10986.59, Lmax=-1648.99
06:43:20 [ultranest] [DEBUG] iteration=265, ncalls=13456, regioncalls=0, ndraw=40, logz=-10930.56, remainder_fraction=100.0000%, Lmin=-10922.52, Lmax=-1648.99
06:44:03 [ultranest] [DEBUG] iteration=268, ncalls=13552, regioncalls=0, ndraw=40, logz=-10883.59, remainder_fraction=100.0000%, Lmin=-10868.86, Lmax=-1648.99
06:44:38 [ultranest] [DEBUG] iteration=269, ncalls=13648, regioncalls=0, ndraw=40, logz=-10875.52, remainder_fraction=100.0000%, Lmin=-10827.73, Lmax=-1648.99
06:44:38 [ultranest] [DEBUG] iteration=270, ncalls=13648, regioncalls=0, ndraw=40, logz=-10834.40, remainder_fraction=100.0000%, Lmin=-10761.20, Lmax=-1648.99
06:45:35 [ultranest] [DEBUG] iteration=273, ncalls=13744, regioncalls=0, ndraw=40, logz=-10632.46, remainder_fraction=100.0000%, Lmin=-10620.31, Lmax=-1648.99
06:46:32 [ultranest] [DEBUG] iteration=274, ncalls=13840, regioncalls=0, ndraw=40, logz=-10626.98, remainder_fraction=100.0000%, Lmin=-10607.44, Lmax=-1648.99
06:48:02 [ultranest] [DEBUG] iteration=276, ncalls=14032, regioncalls=0, ndraw=40, logz=-10551.43, remainder_fraction=100.0000%, Lmin=-10408.67, Lmax=-1648.99
06:48:35 [ultranest] [DEBUG] iteration=278, ncalls=14128, regioncalls=0, ndraw=40, logz=-10388.90, remainder_fraction=100.0000%, Lmin=-10292.88, Lmax=-1648.99
06:49:24 [ultranest] [DEBUG] iteration=280, ncalls=14224, regioncalls=0, ndraw=40, logz=-10266.91, remainder_fraction=100.0000%, Lmin=-10249.48, Lmax=-1648.99
06:49:56 [ultranest] [DEBUG] iteration=283, ncalls=14320, regioncalls=0, ndraw=40, logz=-10210.29, remainder_fraction=100.0000%, Lmin=-10184.04, Lmax=-1648.99
06:50:38 [ultranest] [DEBUG] iteration=285, ncalls=14416, regioncalls=0, ndraw=40, logz=-10137.37, remainder_fraction=100.0000%, Lmin=-10034.13, Lmax=-1648.99
06:51:15 [ultranest] [DEBUG] iteration=289, ncalls=14512, regioncalls=0, ndraw=40, logz=-9944.69, remainder_fraction=100.0000%, Lmin=-9918.48, Lmax=-1648.99
06:51:47 [ultranest] [DEBUG] iteration=292, ncalls=14608, regioncalls=0, ndraw=40, logz=-9880.10, remainder_fraction=100.0000%, Lmin=-9828.97, Lmax=-1648.99
06:52:19 [ultranest] [DEBUG] iteration=294, ncalls=14704, regioncalls=0, ndraw=40, logz=-9799.95, remainder_fraction=100.0000%, Lmin=-9785.84, Lmax=-1648.99
06:52:55 [ultranest] [DEBUG] iteration=297, ncalls=14800, regioncalls=0, ndraw=40, logz=-9737.06, remainder_fraction=100.0000%, Lmin=-9720.23, Lmax=-1648.99
06:54:12 [ultranest] [DEBUG] iteration=298, ncalls=14992, regioncalls=0, ndraw=40, logz=-9726.97, remainder_fraction=100.0000%, Lmin=-9673.08, Lmax=-1648.99
06:55:21 [ultranest] [DEBUG] iteration=301, ncalls=15184, regioncalls=0, ndraw=40, logz=-9626.37, remainder_fraction=100.0000%, Lmin=-9595.36, Lmax=-1648.99
