omega_b H0 logA omega_cdm n_s z_reio A_planck A_act P_act Tcal Ecal m_ncdm
2.255786466624721057e-02 6.895531631601483014e+01 3.060944373843153876e+00 1.175968430439496976e-01 9.763426552246112777e-01 8.816890518250440678e+00 9.989961282785404517e-01 9.972821955032900032e-01 1.000418273615745646e+00 9.987445071235445671e-01 9.994782294940226519e-01 3.139759675504313289e-03
2.262736421819117744e-02 6.892552642145933817e+01 3.052744739114045203e+00 1.176625768696762664e-01 9.734257359527634934e-01 8.036368857196546145e+00 1.002256215229231806e+00 1.000519481866035232e+00 1.001228819975917173e+00 9.990249809703706241e-01 1.003286644362278324e+00 5.334796528701928747e-03
2.241606338428028811e-02 6.889567686499651700e+01 3.044178404375462055e+00 1.174324361845743431e-01 9.734893993456045225e-01 8.192862339392863902e+00 9.994379198425363819e-01 9.971019712444887384e-01 1.003016951215605967e+00 9.941623441955307339e-01 9.998346641500128751e-01 6.861144744289363225e-03
2.251198952807377876e-02 6.875889465850573856e+01 3.048055407495180003e+00 1.175398033356283012e-01 9.747201310875784896e-01 8.120168580352599363e+00 1.001204047208435144e+00 1.002051424841537752e+00 9.994112968454411661e-01 9.999811667335413157e-01 1.003668835669461412e+00 1.775210356563187639e-02
2.250167473495903736e-02 6.906587952812412823e+01 3.067784421693811492e+00 1.171562190039861506e-01 9.774417502632519739e-01 9.276755822581952415e+00 9.996934573401463631e-01 9.997701682925871358e-01 1.004309095402208474e+00 1.000438099540482240e+00 9.985077266427451192e-01 2.393088408446192045e-03
2.244678808592745836e-02 6.857201112405519439e+01 3.041813877504783825e+00 1.178535550399873594e-01 9.738747028860400556e-01 7.879457267668402487e+00 9.995326195464108165e-01 9.982782184897428523e-01 1.002412272733444576e+00 9.977362431147395183e-01 1.001099884278920937e+00 1.286723466180533272e-02
2.256343185609626170e-02 6.869226373607550329e+01 3.059267162860888956e+00 1.174798468297678644e-01 9.741806277069062769e-01 8.574575437174409842e+00 9.993109790694973960e-01 1.001086926811092459e+00 1.000680632328635911e+00 1.000531014951526965e+00 1.002870249566009120e+00 3.905575776548755179e-02
2.265635808724071609e-02 6.893715873178707909e+01 3.058003048204439800e+00 1.180005164192964306e-01 9.700554255682997118e-01 8.337091873703810663e+00 1.000995334903487244e+00 1.003253587760022603e+00 1.001997033336796683e+00 1.003172206574110215e+00 9.996771474377257327e-01 6.436240552255681480e-03
2.262827385091286878e-02 6.886242424605279666e+01 3.062751273529582097e+00 1.181205554553741294e-01 9.703849136315819690e-01 8.583840133966736730e+00 1.002077320784124037e+00 9.990171054900601755e-01 1.000612245658203170e+00 1.000877509165049473e+00 1.004471989496207085e+00 3.383802672765805295e-03
2.250025388327028808e-02 6.869534830414824000e+01 3.068130650624889100e+00 1.181845619982136442e-01 9.705061973511781570e-01 8.718253207534139904e+00 1.002441430827657687e+00 9.987867318695746732e-01 1.008480454756594646e+00 1.000415417729542344e+00 1.002924305508802405e+00 5.482748832731265849e-03
2.243913794243200879e-02 6.893277241422087798e+01 3.043754584211928460e+00 1.172186840227985305e-01 9.779109261122962415e-01 7.955355979186428783e+00 9.999707258508416796e-01 9.988898551174971718e-01 1.002386933143318615e+00 9.993661215560714073e-01 1.005573313389488188e+00 2.081746266396953312e-03
2.261729871236222572e-02 6.902915689282481537e+01 3.069455361594241705e+00 1.170851514779036595e-01 9.743219026271281447e-01 9.051373181836494197e+00 1.000366414701568285e+00 1.000402109667533956e+00 9.991855912621044888e-01 9.946578283693282563e-01 1.001609998822230674e+00 2.644885957795596945e-02
