16:55:11 [ultranest] [DEBUG] ReactiveNestedSampler: dims=12+0, resume=False, log_dir=/home/ubuntu/docs_runs/ultranest_noh0_20260813/un_lcdm_noh0_ev_prod, backend=hdf5, vectorized=False, nbootstraps=30, ndraw=128..65536
16:55:56 [ultranest] [INFO] Sampling 400 live points from prior ...
16:57:59 [ultranest] [DEBUG] run_iter dlogz=0.5, dKL=0.5, frac_remain=0.01, Lepsilon=0.0010, min_ess=400
16:57:59 [ultranest] [DEBUG] max_iters=-1, max_ncalls=-1, max_num_improvement_loops=-1, min_num_live_points=400, cluster_num_live_points=40
16:57:59 [ultranest] [DEBUG] minimal_widths_sequence: [(np.float64(-inf), np.float64(400.0)), (np.float64(inf), np.float64(400.0))]
18:16:37 [ultranest] [DEBUG] iteration=204, ncalls=12784, regioncalls=0, ndraw=40, logz=-14087.86, remainder_fraction=100.0000%, Lmin=-14036.74, Lmax=-1854.80
18:17:21 [ultranest] [DEBUG] iteration=207, ncalls=12880, regioncalls=0, ndraw=40, logz=-13817.42, remainder_fraction=100.0000%, Lmin=-13735.01, Lmax=-1854.80
18:18:01 [ultranest] [DEBUG] iteration=208, ncalls=12976, regioncalls=0, ndraw=40, logz=-13741.52, remainder_fraction=100.0000%, Lmin=-13690.52, Lmax=-1854.80
18:18:33 [ultranest] [DEBUG] iteration=209, ncalls=13072, regioncalls=0, ndraw=40, logz=-13697.03, remainder_fraction=100.0000%, Lmin=-13645.41, Lmax=-1854.80
18:19:11 [ultranest] [DEBUG] iteration=213, ncalls=13168, regioncalls=0, ndraw=40, logz=-13521.01, remainder_fraction=100.0000%, Lmin=-13480.22, Lmax=-1854.80
18:19:51 [ultranest] [DEBUG] iteration=215, ncalls=13264, regioncalls=0, ndraw=40, logz=-13471.05, remainder_fraction=100.0000%, Lmin=-13432.72, Lmax=-1854.80
18:20:23 [ultranest] [DEBUG] iteration=216, ncalls=13360, regioncalls=0, ndraw=40, logz=-13439.25, remainder_fraction=100.0000%, Lmin=-13382.92, Lmax=-1854.80
18:21:06 [ultranest] [DEBUG] iteration=218, ncalls=13456, regioncalls=0, ndraw=40, logz=-13376.69, remainder_fraction=100.0000%, Lmin=-13258.72, Lmax=-1854.80
18:21:41 [ultranest] [DEBUG] iteration=221, ncalls=13552, regioncalls=0, ndraw=40, logz=-13106.46, remainder_fraction=100.0000%, Lmin=-13091.28, Lmax=-1854.80
18:22:11 [ultranest] [DEBUG] iteration=223, ncalls=13648, regioncalls=0, ndraw=40, logz=-13017.63, remainder_fraction=100.0000%, Lmin=-12935.72, Lmax=-1854.80
