omega_b H0 logA omega_cdm n_s z_reio A_planck A_act P_act Tcal Ecal m_ncdm
2.248194836415192549e-02 6.847856336055515669e+01 3.047333645522892542e+00 1.184785854043743508e-01 9.760896414893953654e-01 7.868274800237871958e+00 1.001975509418646437e+00 1.002703897847704528e+00 9.985341832631858816e-01 9.999570229846881375e-01 1.008069219001147099e+00 9.054748578281018173e-03
2.244068897935042745e-02 6.862154247802980933e+01 3.063502388914843166e+00 1.180618526982639138e-01 9.726970215649991536e-01 8.888395208444407558e+00 1.000457353534833782e+00 9.993394285894700024e-01 1.004196687685602107e+00 9.983395024271897178e-01 9.971738722912687480e-01 1.247322610385527032e-02
2.242344457762332835e-02 6.829092578888166543e+01 3.067424628391931751e+00 1.182679416152772056e-01 9.711060321007978224e-01 8.790247542917519752e+00 1.004159918794046424e+00 9.984275796751710397e-01 1.007325699285842591e+00 9.993678021522776067e-01 1.000688070952320485e+00 2.934611745488361137e-02
2.248257049430977400e-02 6.841542542238298097e+01 3.071438846748759222e+00 1.174317988274749536e-01 9.755353619130356924e-01 9.163388504207450325e+00 1.002025608912416876e+00 1.000131134320865200e+00 1.005135232075603069e+00 1.002197368727969273e+00 1.004603075158917003e+00 5.869970217343289248e-02
2.241354842800108785e-02 6.852641637758935644e+01 3.055043568037215884e+00 1.183882881607880716e-01 9.741222816852559419e-01 8.168081150899936915e+00 1.001308809509507070e+00 1.002246220150912581e+00 1.005606606788313595e+00 9.986557616618568778e-01 9.997048758323056061e-01 5.212269432853364540e-03
2.246801016945863122e-02 6.867297482874194259e+01 3.060208844319325827e+00 1.175744883948585534e-01 9.694616265014083245e-01 8.245568021763723721e+00 1.004844533276129326e+00 1.000414943667492507e+00 1.003001121919678607e+00 1.003648726633256771e+00 1.003634061457349791e+00 2.057785300093054395e-02
2.240529107375747314e-02 6.819990522100309249e+01 3.053159411171752602e+00 1.179761995457199591e-01 9.739779442409279842e-01 8.575206863676839930e+00 9.987890609095210204e-01 9.979403664442689781e-01 1.001332166814336011e+00 1.000259203975046418e+00 9.963522191801017502e-01 5.476787280215662107e-02
2.250162162956578088e-02 6.875310739815554939e+01 3.071426365991997809e+00 1.180988401415358630e-01 9.685752206690318999e-01 9.017454248014150409e+00 1.001311750824243063e+00 9.989871688230061997e-01 1.002761015856032056e+00 9.987723290942780441e-01 1.000710917832227320e+00 7.837124512104245294e-03
2.256098451700857058e-02 6.852831867759714157e+01 3.059088247047608622e+00 1.179039532896231368e-01 9.750597034929345819e-01 8.753926453121007256e+00 9.996410590617192948e-01 9.991265863476644915e-01 1.001891125343079558e+00 1.001578095931541457e+00 9.967597052045661377e-01 2.902455672683531412e-02
2.247873629908891599e-02 6.818951938676710256e+01 3.045938487625606594e+00 1.188275977418728618e-01 9.732927613604374084e-01 7.754827622122845376e+00 1.001777070788547830e+00 1.001139546415510395e+00 1.004673110287672255e+00 1.000005658014947452e+00 1.002024918850156432e+00 1.806206305311207003e-02
2.250435011279262876e-02 6.856509460601334638e+01 3.038284577882184312e+00 1.186486642305072392e-01 9.765477287347711366e-01 7.383745351327068107e+00 1.001706892174994312e+00 1.000721262617817242e+00 1.009121195051502218e+00 9.983242994528161995e-01 1.002733067542963985e+00 1.124690728654602866e-02
2.249271051541201077e-02 6.845458897598170722e+01 3.036796987998987341e+00 1.186531404138280732e-01 9.746563006326477430e-01 7.376010243568041247e+00 9.995981923665496760e-01 1.000457744769647439e+00 1.000375409679516991e+00 9.974813044894109693e-01 1.009143581613505702e+00 4.660905360482638440e-03
2.243318165396353259e-02 6.829202854492952213e+01 3.039761910599554362e+00 1.186660804676485104e-01 9.687492192857385387e-01 7.383453915301449122e+00 1.002833614586030375e+00 1.001332056476876176e+00 1.000547753715322896e+00 1.002837967444723422e+00 1.004054589276035969e+00 1.575874271182239536e-02
2.254201297477698498e-02 6.844240247358195006e+01 3.039779431709505264e+00 1.179928943308103106e-01 9.759484094398016563e-01 7.724408404698747788e+00 1.000643055568797513e+00 9.995817522523053889e-01 1.001917630540437143e+00 9.985021136885546822e-01 9.984653719351838097e-01 4.969737511297970395e-02
2.253874793483599120e-02 6.827640089315667637e+01 3.046496203452544904e+00 1.191202970100900538e-01 9.705257701598619668e-01 7.553665734406600052e+00 1.003238464176940292e+00 1.001974991004632720e+00 1.003393144029047779e+00 1.000130797004888272e+00 9.998872870649644362e-01 7.169784064068658591e-03
2.250583916478693380e-02 6.814618242611122412e+01 3.045568727972856049e+00 1.195679664965073330e-01 9.694501968706258355e-01 7.932790495084454108e+00 9.987632467972467065e-01 9.956539563418724814e-01 1.000889542956245437e+00 9.932547338419506211e-01 1.001683630915517709e+00 8.083381060933826287e-03
2.243121437949241806e-02 6.833540374704867304e+01 3.049961672353401987e+00 1.183262107388878548e-01 9.702405460100127499e-01 8.120982236386641517e+00 1.000616179898511149e+00 9.985292799485381288e-01 1.003850335726723442e+00 9.940281601351846907e-01 9.976918234766144478e-01 1.881193445690074531e-02
2.241068102643908877e-02 6.856568746939707637e+01 3.057319790912735868e+00 1.175915547687485241e-01 9.731302165536376281e-01 8.409403626974199852e+00 1.002500912953166345e+00 1.000622547056653211e+00 1.004597658782597325e+00 9.999231794130848394e-01 9.975085161305653481e-01 2.576323853171525596e-02
2.247991182430392892e-02 6.806991620008180632e+01 3.036876830771882751e+00 1.190162646145881548e-01 9.723240671472720420e-01 7.517369887312903565e+00 1.000947248513592625e+00 9.990522612322885188e-01 1.002111021590455175e+00 9.990677707773922833e-01 9.999880579724869101e-01 2.818807085012554892e-02
2.238503154828422326e-02 6.818570246128734880e+01 3.067029658950804372e+00 1.184933973439231125e-01 9.707610916756354014e-01 8.784966525857932140e+00 1.001609926641646942e+00 9.990873724260366240e-01 1.005535850903775064e+00 1.001784644231390464e+00 1.000080524419173278e+00 3.279502211801867823e-02
2.231641167502078360e-02 6.768251962768367491e+01 3.030865811299591872e+00 1.200512509168542713e-01 9.673353828076811656e-01 7.010822350445652162e+00 1.000297613912755512e+00 9.995123788158202238e-01 1.005230653775703420e+00 1.000404862114113724e+00 1.000585554715497816e+00 1.505625639287279730e-02
2.244413991816976081e-02 6.894707522202376992e+01 3.041201362399587715e+00 1.173290129732693227e-01 9.701679662947628735e-01 7.626499377897431486e+00 1.002102861012590385e+00 9.994079772699948627e-01 1.005751658491778722e+00 9.978146857700942451e-01 9.989903479918796902e-01 4.931985190376338667e-04
2.246903324112201408e-02 6.829638425552903414e+01 3.037804214473808440e+00 1.189875604560761968e-01 9.731664465986049617e-01 7.673214418056871544e+00 9.978969099151904221e-01 9.998910415679557184e-01 9.996735051227215729e-01 9.924150437731176222e-01 9.994125377957800982e-01 1.342059320685979641e-02
2.249692294465461054e-02 6.853173946526383986e+01 3.060956375013265340e+00 1.183986948621957302e-01 9.683707381744797171e-01 8.675334476595571331e+00 9.991785575220543114e-01 9.981625932741335916e-01 1.004139992519426317e+00 9.919877702774876349e-01 1.002835620774062519e+00 5.327503659955780922e-03
2.275165548098318641e-02 6.854003623722520899e+01 3.057609094673080286e+00 1.185188046901044373e-01 9.706470917528440268e-01 7.943898573477941483e+00 1.004627930505288758e+00 1.003195421364964091e+00 9.980404877355323334e-01 1.002628817393568239e+00 1.006560365965016413e+00 2.280787769159716566e-02
